acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,focus_lv, chill_lv,workout_lv,party_lv,pred,id,name
1,0.401,0.7190000000000001,224427,0.493,0.0,8,0.118,-7.23,1,0.0794,115.08,4,0.124,0,0,0,0,1,7pgJBLVz5VmnL7uGHmRj6p,Pathology
10,0.187,0.8640000000000001,101172,0.365,0.0,8,0.1159999999999999,-10.219,1,0.0655,189.938,4,0.0478,0,0,0,0,1,7EL7ifncK2PWFYThJjzR25,BRAINFOOD
34,0.484,0.748,195875,0.573,2.59e-06,9,0.0929,-9.907,1,0.0543,117.962,4,0.193,0,0,0,0,1,0QVG9r2otIXoWCHyh09SqU,TheArtOfCremation
37,0.2319999999999999,0.657,114500,0.473,0.026,1,0.108,-12.050999999999998,1,0.0368,150.029,4,0.153,0,0,0,0,1,5Njf3sGQoxQJqcR4gUbttZ,FunnyToSeeYouHere
48,0.8320000000000001,0.504,176901,0.48,0.000252,3,0.1009999999999999,-8.885,1,0.045,173.993,4,0.878,0,0,0,0,1,5DV8yoddFyjLVfRT6pfAht,Paralax
54,0.445,0.299,234000,0.381,0.0023,3,0.0932,-6.9510000000000005,0,0.038,136.46200000000002,1,0.0392,0,0,0,0,1,6Q1LtmZPFRGNZbH6VdarBQ,Пламя
62,0.324,0.753,145078,0.679,4.210000000000001e-05,5,0.423,-7.0920000000000005,0,0.0349,211.954,4,0.19,0,0,0,0,1,5XAPpyIoYF3QXP34Hv8Pvx,Kill Yourself (Part III)
111,0.474,0.595,123167,0.3329999999999999,0.0268,6,0.0998,-13.235,1,0.0416,124.993,4,0.105,0,0,0,0,1,63biRmMYSLjClGv5arakyn,Branches
137,0.432,0.924,183159,0.5429999999999999,7.32e-05,7,0.11,-6.612,1,0.0854,199.99400000000003,4,0.104,0,0,0,0,1,7ksRhRXztNfSwm8W7uFq1f,Norf Norf
141,0.278,0.762,271404,0.41,3.43e-05,8,0.157,-11.979,1,0.0551,200.094,4,0.0813,0,0,0,0,1,6oBL8TdQHEO7jeEdqECg37,Still Cold / Pathway Private
156,0.208,0.685,104230,0.402,0.0206,0,0.402,-8.076,0,0.0734,119.917,4,0.107,0,0,0,0,1,2ww1CemCVpqs9sQXO9jfN2,Gloss of Blood
157,0.0807,0.556,203960,0.449,0.0372,7,0.446,-10.363,1,0.2269999999999999,179.968,4,0.484,0,0,0,0,1,4kBrbBGK0vLW1CihB20Qtq,100K
158,0.0776,0.625,206472,0.45,0.000217,9,0.1169999999999999,-9.985,1,0.0311,185.948,3,0.0362,0,1,0,0,1,7Cye3UbCA6UNuDykdCf3AB,Dark Light
201,0.3929999999999999,0.4629999999999999,100260,0.632,0.0,7,0.127,-9.577,1,0.0525,163.71,4,0.0894,0,0,0,0,1,6fxWseQSRKOF2nfkGbaJWO,Haunt U
212,0.632,0.5489999999999999,300831,0.44,0.000779,4,0.0909,-12.024,0,0.472,218.41,4,0.132,0,0,0,0,1,5bjvEzg9fG68IRMSrkVSot,Dream Journal
213,0.604,0.7020000000000001,195713,0.5670000000000001,3.3e-05,11,0.359,-10.223,0,0.1969999999999999,120.081,4,0.195,0,0,0,0,1,6aksxALGxEL6kOOvITALIm,Hannah Baker
292,0.105,0.63,214192,0.3989999999999999,0.174,5,0.2339999999999999,-9.869,0,0.178,183.016,3,0.0657,0,0,0,0,1,1wGnp7ejkCuXRsehXx0PNP,RIP Luv
296,0.442,0.7390000000000001,147987,0.405,0.211,0,0.158,-10.897,1,0.0852,157.09,4,0.127,0,0,0,0,1,7LAhKXDNWwq3CmnFP3UIOP,Nightmare
297,0.754,0.755,154560,0.517,0.0,4,0.127,-9.804,0,0.0751,129.02700000000002,4,0.6990000000000001,0,0,0,0,1,5wPhznwiMGc1tUojiEkAkG,Elimination
298,0.045,0.754,205147,0.575,0.00131,4,0.276,-8.392999999999999,0,0.0682,172.018,4,0.491,0,0,0,0,1,7rC5Pl8rQSX4myONQHYPBK,Mob Ties
299,0.181,0.7559999999999999,174107,0.452,2.99e-05,6,0.196,-8.338,0,0.0723,155.053,4,0.216,0,0,0,0,1,2WqI0sAHJF10fOt6fl76oI,Gucci Snake
324,0.1159999999999999,0.55,144482,0.469,0.000113,1,0.5539999999999999,-10.375,1,0.0423,140.06799999999998,4,0.0374,0,0,0,0,1,5fBIsVBzbLYuwfZCgQGgeX,Glitch
339,0.196,0.598,200647,0.318,0.0,8,0.319,-13.217,0,0.0679,119.988,4,0.0819,0,0,0,0,1,46PXHKVLitdabumZZd5Z9Q,Closure
342,0.73,0.6920000000000001,303413,0.401,0.000932,7,0.0722,-9.382,1,0.0936,120.336,4,0.33,0,0,0,0,1,2WloLsoUqp1A0xxNAwoiwh,Red Bottom Sky
345,0.3879999999999999,0.517,330947,0.685,0.0133,4,0.0713,-7.728,1,0.055,190.036,4,0.231,0,0,0,0,1,6wb1K3y7rRyQdoJlkrMgik,On My Way Out
349,0.836,0.618,202103,0.217,0.0001629999999999,10,0.5379999999999999,-15.372,1,0.0515,116.014,4,0.0872,0,0,0,0,1,7wvwXi9Z66dcH5t202vVkN,Will He
350,0.619,0.672,174358,0.588,0.241,1,0.0992,-9.573,1,0.133,169.033,4,0.204,0,0,0,0,1,5gFmgXPCLu9xIfMUXSbRru,YEAH RIGHT
352,0.238,0.737,158000,0.354,0.000102,2,0.111,-13.817,1,0.0343,111.97,4,0.0962,0,0,0,0,1,51YxCv8YcGG0Eaf02zos5l,Sometimes I Tell Myself I'm Fine
358,0.772,0.657,197558,0.427,0.0,6,0.0715,-12.599,0,0.125,124.996,4,0.672,0,0,0,0,1,26Ve5CszPwXSoXeL8MVnFh,stagelights
362,0.139,0.531,189952,0.522,0.0038299999999999,6,0.185,-10.148,0,0.0322,145.005,4,0.246,0,0,1,0,1,5q7R8XH71VCUg850M2ZOoo,Why'd You Have to Go
363,0.797,0.8340000000000001,187051,0.26,0.0376,10,0.114,-17.622,0,0.0525,199.938,4,0.175,0,0,0,0,1,6Wc80QxWiKOi91SF6ogEtV,Safety Nets
368,0.8909999999999999,0.7190000000000001,234736,0.387,0.0,10,0.114,-9.38,0,0.0643,135.064,4,0.17,0,0,0,0,1,1i9ItiMY9JrFTnqkTlm0n0,im so sick of this
380,0.3979999999999999,0.746,145519,0.441,0.0331,11,0.099,-12.226,0,0.152,159.967,4,0.145,0,0,0,0,1,1uXlowVZrcFZmoQp51s6Jn,Inner Peace
384,0.82,0.7340000000000001,122958,0.375,6.94e-06,1,0.0922,-11.634,1,0.22,160.12,4,0.183,0,0,0,0,1,4LSpymRfVMIZ5CEhDB4cd0,Hopeless
385,0.475,0.8490000000000001,192561,0.397,0.0,1,0.111,-11.335,0,0.0734,128.988,4,0.144,0,0,0,0,1,2NYiHWdioLx4lg7iaXqpPL,ghostboy.
386,0.485,0.497,162083,0.602,0.000274,3,0.119,-7.569,1,0.0562,149.013,4,0.1969999999999999,0,0,0,0,1,4FU186jmVxCSszXsCR9RNG,Scared for You
387,0.136,0.79,243042,0.291,0.0063799999999999,5,0.109,-12.113,1,0.115,157.997,4,0.3,0,0,0,0,1,05SnTFcfGkYCh91CXtFuXH,Bupropion
388,0.4039999999999999,0.711,217182,0.545,0.0,11,0.122,-6.81,1,0.0322,216.04,4,0.345,0,0,0,0,1,5FkOlv0W1nBqs3mgbksZa4,whatever it takes
391,0.562,0.8740000000000001,157971,0.441,0.00807,1,0.0869,-6.872000000000001,1,0.178,158.06,4,0.401,0,0,0,0,1,7mT6wRpRb2PclXKxYKlJYg,The Renegade Never Dies
